,LinUCB,,,,"LinUCB+stdev,cluster","LinUCB+stdev,cluster+CBF"
1.0072,1.08333,0.03801,,,1.12633,1.11922
1.00741,1.08262,0.038,,,1.12537,1.11841
1.00761,1.08164,0.03803,,,1.1242,1.11732
1.00782,1.08281,0.03811,,,1.12423,1.11584
1.00803,1.0836,0.03816,,,1.12508,1.11523
1.00824,1.08402,0.03819,,,1.12561,1.11482
1.00845,1.08441,0.03823,,,1.12576,1.11593
1.00866,1.08462,0.03828,,,1.12773,1.11622
1.00887,1.08566,0.03832,,,1.128,1.11487
1.00908,1.08629,0.0383,,,1.12836,1.11466
1.00929,1.08526,0.03827,,,1.12866,1.1148
1.0095,1.08484,0.03834,,,1.12859,1.11516
1.0097,1.08482,0.03831,,,1.12879,1.116
1.00991,1.08628,0.03842,,,1.13025,1.1158
1.01011,1.08582,0.03841,,,1.13118,1.11552
1.01031,1.08451,0.03839,,,1.13044,1.11511
1.01051,1.08302,0.03838,,,1.13059,1.11401
1.0107,1.08366,0.03843,,,1.13001,1.11447
1.0109,1.08377,0.03841,,,1.12979,1.11485
1.01109,1.08245,0.03842,,,1.12965,1.11507
1.01128,1.08215,0.03844,,,1.13084,1.11447
1.01146,1.08186,0.03843,,,1.1323,1.11461
1.01165,1.08191,0.03845,,,1.1326,1.11432
1.01183,1.08173,0.03847,,,1.13243,1.11454
1.01202,1.08248,0.03852,,,1.13288,1.1144
1.0122,1.08295,0.03863,,,1.13421,1.11365
1.01239,1.08443,0.03867,,,1.13451,1.11284
1.01258,1.0842,0.03868,,,1.13469,1.1144
1.01276,1.08387,0.03869,,,1.13434,1.11555
1.01295,1.08385,0.03871,,,1.13506,1.1146
1.01313,1.08373,0.03868,,,1.13486,1.11448
1.01331,1.08422,0.03876,,,1.13503,1.11412
1.0135,1.08384,0.03879,,,1.13464,1.11531
1.01368,1.08506,0.03884,,,1.13378,1.11669
1.01386,1.08604,0.03886,,,1.13238,1.11657
1.01405,1.08546,0.03883,,,1.13215,1.11717
1.01423,1.08542,0.03893,,,1.13304,1.11555
1.01441,1.086,0.03894,,,1.13186,1.1158
1.01459,1.08584,0.03898,,,1.1323,1.11641
1.01478,1.08753,0.03908,,,1.13449,1.11732
1.01496,1.08778,0.03909,,,1.1355,1.1174
1.01514,1.08693,0.03906,,,1.13587,1.11753
1.01532,1.08787,0.03917,,,1.13659,1.11752
1.01551,1.08902,0.0392,,,1.13637,1.11626
1.01569,1.08943,0.03919,,,1.1364,1.1159
1.01587,1.0888,0.03922,,,1.13536,1.1159
1.01606,1.08999,0.03928,,,1.13685,1.11663
1.01624,1.08935,0.03929,,,1.13989,1.11687
1.01642,1.08975,0.03941,,,1.14128,1.11749
1.01661,1.09167,0.03946,,,1.14085,1.11728
1.01679,1.09125,0.0394,,,1.14196,1.11794
1.01697,1.09118,0.03944,,,1.14203,1.11803
1.01715,1.09162,0.03951,,,1.14279,1.11785
1.01734,1.09305,0.03957,,,1.14478,1.1208
1.01753,1.09429,0.03965,,,1.14506,1.12252
1.01772,1.09548,0.03966,,,1.14458,1.12305
1.0179,1.09523,0.0397,,,1.14384,1.12255
1.01809,1.09466,0.03971,,,1.14389,1.12283
1.01827,1.09388,0.03975,,,1.14423,1.12233
1.01845,1.09404,0.03976,,,1.14518,1.12215
1.01863,1.09326,0.03976,,,1.14395,1.12355
1.01881,1.09261,0.03975,,,1.1429,1.12439
1.01898,1.09194,0.03974,,,1.14254,1.1253
1.01916,1.09193,0.03978,,,1.14351,1.12655
1.01933,1.09139,0.0398,,,1.14444,1.12674
1.0195,1.09253,0.03988,,,1.14403,1.127
1.01968,1.09242,0.03986,,,1.14518,1.12752
1.01985,1.09273,0.0399,,,1.14558,1.12677
1.02002,1.09352,0.03993,,,1.1451,1.12704
1.0202,1.09439,0.03999,,,1.14485,1.1275
1.02037,1.09583,0.04005,,,1.14754,1.12862
1.02055,1.09588,0.04007,,,1.14853,1.12962
1.02073,1.09659,0.04006,,,1.14853,1.12919
1.0209,1.09596,0.04009,,,1.15011,1.12914
1.02108,1.09603,0.04012,,,1.14987,1.12959
1.02125,1.09591,0.04015,,,1.1489,1.13076
1.02142,1.09686,0.0402,,,1.14964,1.13214
1.0216,1.09656,0.04022,,,1.14849,1.13184
1.02177,1.09656,0.04021,,,1.14971,1.13259
1.02194,1.09556,0.04019,,,1.15076,1.1333
1.02211,1.09524,0.04025,,,1.15166,1.13264
1.02227,1.09563,0.04027,,,1.15255,1.13143
1.02244,1.09533,0.04029,,,1.15263,1.13006
1.02261,1.09532,0.04027,,,1.15228,1.1291
1.02277,1.09468,0.04028,,,1.15178,1.12807
1.02293,1.09492,0.04029,,,1.15201,1.12852
1.0231,1.09503,0.04032,,,1.15242,1.12851
1.02326,1.09514,0.04036,,,1.15197,1.12896
1.02342,1.09574,0.04038,,,1.15192,1.12906
1.02359,1.09803,0.04049,,,1.15191,1.12962
1.02376,1.09901,0.04053,,,1.15227,1.12979
1.02393,1.09936,0.04058,,,1.15246,1.13006
1.02409,1.09973,0.04057,,,1.15316,1.13021
1.02426,1.0986,0.04058,,,1.15267,1.12992
1.02442,1.09854,0.04057,,,1.15253,1.12956
1.02459,1.09904,0.04067,,,1.15224,1.13017
1.02475,1.09962,0.04065,,,1.15293,1.13187
1.02492,1.09878,0.04064,,,1.15301,1.13238
1.02508,1.09827,0.04064,,,1.15407,1.13337
1.02524,1.09775,0.04062,,,1.15415,1.13305
1.0254,1.09811,0.0407,,,1.1548,1.13339
1.02556,1.09937,0.04072,,,1.15456,1.13392
1.02572,1.09955,0.04071,,,1.15401,1.13386
1.02588,1.09973,0.04077,,,1.15299,1.13393
1.02604,1.09998,0.04078,,,1.15265,1.1335
1.0262,1.10056,0.04083,,,1.15337,1.13389
1.02637,1.10201,0.04087,,,1.15381,1.13519
1.02653,1.10259,0.04093,,,1.15304,1.13567
1.0267,1.10325,0.04096,,,1.15316,1.13544
1.02686,1.10343,0.04103,,,1.15312,1.13497
1.02703,1.10573,0.04116,,,1.15314,1.13579
1.0272,1.10715,0.04118,,,1.15249,1.13612
1.02737,1.1081,0.04123,,,1.1528,1.13588
1.02755,1.10801,0.04123,,,1.15406,1.13635
1.02772,1.10785,0.04122,,,1.15349,1.13566
1.02788,1.10679,0.0412,,,1.15375,1.13571
1.02805,1.10879,0.04131,,,1.1538,1.13673
1.02823,1.10971,0.04135,,,1.15386,1.1379
1.0284,1.10981,0.04131,,,1.15353,1.13788
1.02857,1.10896,0.04131,,,1.15371,1.13722
1.02874,1.10875,0.04133,,,1.15342,1.13624
1.0289,1.10869,0.04132,,,1.15311,1.13662
1.02907,1.10937,0.04141,,,1.15371,1.1368
1.02924,1.11022,0.04144,,,1.15408,1.13735
1.02941,1.10974,0.04142,,,1.15468,1.13805
1.02958,1.11038,0.0415,,,1.15465,1.13832
1.02974,1.1114,0.04157,,,1.15606,1.13795
1.02992,1.11281,0.04162,,,1.15641,1.13827
1.03009,1.11321,0.04161,,,1.15698,1.139
1.03026,1.11334,0.04164,,,1.1583,1.13781
1.03043,1.11333,0.04167,,,1.16042,1.13932
1.0306,1.11392,0.04175,,,1.16091,1.13998
1.03077,1.11457,0.04173,,,1.16141,1.13915
1.03094,1.11432,0.04174,,,1.1624,1.1391
1.03111,1.11383,0.04173,,,1.16213,1.13847
1.03128,1.11396,0.04176,,,1.16199,1.13841
1.03145,1.11496,0.04185,,,1.16263,1.13699
1.03162,1.11654,0.0419,,,1.16324,1.13737
1.03179,1.11636,0.04186,,,1.16369,1.13662
1.03196,1.11572,0.0419,,,1.16372,1.13597
1.03213,1.11577,0.04191,,,1.16377,1.13669
1.0323,1.11594,0.04193,,,1.16372,1.13652
1.03247,1.11623,0.04198,,,1.16423,1.13698
1.03264,1.11737,0.04205,,,1.16423,1.13688
1.03281,1.11849,0.04208,,,1.16434,1.13618
1.03298,1.11936,0.0421,,,1.16497,1.1363
1.03315,1.11953,0.04212,,,1.16537,1.13703
1.03333,1.11945,0.04214,,,1.1658,1.13657
1.0335,1.11985,0.0422,,,1.16634,1.13721
1.03367,1.12052,0.04219,,,1.16732,1.13745
1.03384,1.12089,0.04225,,,1.16727,1.13707
1.03401,1.121,0.04228,,,1.16596,1.13655
1.03418,1.12166,0.0423,,,1.16663,1.13611
1.03435,1.12063,0.04225,,,1.16588,1.13601
1.03452,1.12045,0.04231,,,1.16619,1.13603
1.03469,1.12085,0.04237,,,1.16596,1.13547
1.03486,1.12152,0.04236,,,1.1659,1.13618
