LinUCB,’ñˆÄŽè–@,,’ñˆÄŽè–@
1.04056,1.08523,0.03661,1.09523
1.04072,1.08756,0.03668,1.09756
1.04087,1.087,0.03666,1.097
1.04101,1.08626,0.03665,1.09626
1.04116,1.085,0.03668,1.095
1.0413,1.08572,0.0367,1.09572
1.04144,1.08475,0.03671,1.09475
1.04158,1.08555,0.03681,1.09555
1.04172,1.08429,0.03677,1.09429
1.04185,1.08252,0.03678,1.09252
1.04198,1.0831,0.0368,1.0931
1.04211,1.08183,0.03676,1.09183
1.04223,1.08212,0.03687,1.09212
1.04236,1.08214,0.03685,1.09214
1.04248,1.08184,0.03683,1.09184
1.04261,1.08246,0.03693,1.09246
1.04273,1.08282,0.03699,1.09282
1.04286,1.08326,0.03698,1.09326
1.04298,1.08355,0.03705,1.09355
1.04311,1.08354,0.03703,1.09354
1.04323,1.08334,0.03709,1.09334
1.04336,1.08393,0.03707,1.09393
1.04348,1.08297,0.03705,1.09297
1.0436,1.08252,0.03709,1.09252
1.04371,1.08216,0.03711,1.09216
1.04383,1.08161,0.03717,1.09161
1.04395,1.08281,0.03725,1.09281
1.04406,1.08253,0.03718,1.09253
1.04418,1.08261,0.03728,1.09261
1.0443,1.08384,0.03737,1.09384
1.04442,1.08442,0.03737,1.09442
1.04453,1.08281,0.03736,1.09281
1.04464,1.08184,0.03728,1.09184
1.04475,1.08138,0.03743,1.09138
1.04487,1.08372,0.03754,1.09372
1.04499,1.08586,0.03757,1.09586
1.0451,1.08518,0.03763,1.09518
1.04522,1.08459,0.03761,1.09459
1.04534,1.08487,0.03766,1.09487
1.04545,1.08443,0.03767,1.09443
1.04556,1.08248,0.03765,1.09248
1.04566,1.08311,0.03772,1.09311
1.04577,1.08256,0.03773,1.09256
1.04588,1.08298,0.0378,1.09298
1.04598,1.08274,0.03785,1.09274
1.04609,1.0837,0.03786,1.0937
1.0462,1.08375,0.03788,1.09375
1.04631,1.08433,0.0379,1.09433
1.04641,1.08417,0.03795,1.09417
1.04652,1.08483,0.03801,1.09483
1.04663,1.08511,0.03805,1.09511
1.04674,1.08519,0.03807,1.09519
1.04685,1.08479,0.03805,1.09479
1.04695,1.08495,0.03809,1.09495
1.04705,1.08288,0.038,1.09288
1.04715,1.08075,0.03801,1.09075
1.04724,1.08071,0.03802,1.09071
1.04733,1.08169,0.0381,1.09169
1.04743,1.08238,0.03813,1.09238
1.04753,1.08275,0.03819,1.09275
1.04762,1.08202,0.03815,1.09202
1.04772,1.08191,0.03817,1.09191
1.04781,1.08299,0.03824,1.09299
1.04791,1.08373,0.03829,1.09373
1.04801,1.08531,0.03836,1.09531
1.04812,1.08651,0.03844,1.09651
1.04822,1.08649,0.03844,1.09649
1.04832,1.08672,0.03852,1.09672
1.04843,1.08704,0.03853,1.09704
1.04853,1.08675,0.03854,1.09675
1.04863,1.08697,0.03856,1.09697
1.04873,1.08589,0.03852,1.09589
1.04883,1.0852,0.03858,1.0952
1.04893,1.08629,0.03857,1.09629
1.04902,1.08605,0.0386,1.09605
1.04912,1.08604,0.03863,1.09604
1.04922,1.08614,0.03864,1.09614
1.04931,1.08576,0.03871,1.09576
1.04941,1.08764,0.03881,1.09764
1.04952,1.08861,0.03884,1.09861
1.04962,1.08932,0.0389,1.09932
1.04972,1.08946,0.03889,1.09946
1.04983,1.08964,0.03892,1.09964
1.04993,1.08964,0.03891,1.09964
1.05003,1.08794,0.03892,1.09794
1.05012,1.0877,0.03891,1.0977
1.05022,1.08686,0.03888,1.09686
1.05031,1.08726,0.03892,1.09726
1.0504,1.08653,0.03894,1.09653
1.05049,1.08602,0.03891,1.09602
1.05058,1.08617,0.03903,1.09617
1.05068,1.08756,0.03908,1.09756
1.05077,1.08819,0.03911,1.09819
1.05087,1.08892,0.03916,1.09892
1.05096,1.08907,0.03914,1.09907
1.05106,1.08796,0.03914,1.09796
1.05115,1.08854,0.0392,1.09854
1.05124,1.08867,0.0392,1.09867
1.05134,1.08931,0.03929,1.09931
1.05143,1.09042,0.03932,1.10042
1.05153,1.08966,0.03933,1.09966
1.05162,1.08932,0.03938,1.09932
1.05171,1.0894,0.03935,1.0994
1.05181,1.09006,0.0394,1.10006
1.0519,1.09047,0.03941,1.10047
1.052,1.09011,0.03948,1.10011
1.05209,1.0924,0.03957,1.1024
1.0522,1.09444,0.03968,1.10444
1.0523,1.09579,0.03974,1.10579
1.05241,1.09481,0.03969,1.10481
1.0525,1.09337,0.03969,1.10337
1.0526,1.09315,0.03976,1.10315
1.0527,1.09416,0.03985,1.10416
1.0528,1.09435,0.0398,1.10435
1.0529,1.09304,0.03978,1.10304
1.05299,1.09243,0.03981,1.10243
1.05309,1.09277,0.03988,1.10277
1.05318,1.09382,0.0399,1.10382
1.05328,1.09352,0.03988,1.10352
1.05337,1.09357,0.03991,1.10357
1.05347,1.09411,0.03992,1.10411
1.05356,1.09329,0.03992,1.10329
1.05366,1.09377,0.03996,1.10377
1.05375,1.09386,0.03996,1.10386
1.05384,1.09339,0.03997,1.10339
1.05393,1.0928,0.03998,1.1028
1.05402,1.09244,0.04002,1.10244
1.05411,1.09252,0.04001,1.10252
1.0542,1.09347,0.04007,1.10347
1.05429,1.09357,0.04008,1.10357
1.05438,1.09345,0.04012,1.10345
1.05447,1.09378,0.04016,1.10378
1.05456,1.0937,0.04017,1.1037
1.05465,1.09285,0.04018,1.10285
1.05474,1.09399,0.04025,1.10399
1.05483,1.09466,0.04026,1.10466
1.05493,1.09652,0.04035,1.10652
1.05502,1.09655,0.04036,1.10655
1.05512,1.09727,0.04039,1.10727
1.05521,1.09641,0.04038,1.10641
1.0553,1.09555,0.04034,1.10555
1.05539,1.09471,0.04034,1.10471
1.05547,1.09407,0.04034,1.10407
1.05556,1.09337,0.04033,1.10337
1.05564,1.09226,0.0403,1.10226
1.05572,1.09094,0.04027,1.10094
1.0558,1.09053,0.0403,1.10053
1.05587,1.09007,0.04028,1.10007
1.05595,1.08935,0.04028,1.09935
1.05602,1.08881,0.04027,1.09881
1.05609,1.08901,0.04026,1.09901
1.05616,1.08814,0.04027,1.09814
1.05623,1.08697,0.04021,1.09697
1.05629,1.08622,0.04022,1.09622
1.05636,1.08586,0.04021,1.09586
1.05642,1.08549,0.04021,1.09549
1.05648,1.08459,0.04017,1.09459
1.05654,1.08314,0.04014,1.09314
1.0566,1.08209,0.0401,1.09209
1.05665,1.08061,0.0401,1.09061
1.0567,1.0803,0.04011,1.0903
1.05675,1.0791,0.04007,1.0891
1.05679,1.07826,0.04007,1.08826
1.05684,1.07741,0.04004,1.08741
1.05688,1.07694,0.04003,1.08694
1.05692,1.07601,0.04001,1.08601
1.05696,1.07473,0.03999,1.08473
1.057,1.07459,0.04,1.08459
1.05703,1.07376,0.03995,1.08376
1.05706,1.07253,0.03992,1.08253
1.0571,1.07212,0.03992,1.08212
1.05713,1.0718,0.03993,1.0818
1.05716,1.07184,0.03995,1.08184
1.05719,1.07195,0.03998,1.08195
1.05722,1.07183,0.03996,1.08183
1.05725,1.07105,0.03996,1.08105
1.05727,1.07064,0.03997,1.08064
1.0573,1.07121,0.04001,1.08121
1.05733,1.07119,0.04001,1.08119
1.05736,1.07079,0.04,1.08079
1.05739,1.0702,0.04,1.0802
1.05741,1.06965,0.04,1.07965
1.05744,1.06948,0.04003,1.07948
1.05746,1.06961,0.04007,1.07961
1.05749,1.06964,0.04004,1.07964
1.05751,1.0693,0.04007,1.0793
1.05754,1.06986,0.04009,1.07986
